,state,county,city,date,description,adl_id,fips_county,CountyState
102,CA,Los Angeles,sherman oaks,2019-03-01,swastika vandalism discovered at an elementary school.,10117,6037,Los Angeles County CA
103,CA,Los Angeles,south pasadena,2017-02-01,"jewish middle school student harassed by classmates with references to ""burning jews.""",2775,6037,Los Angeles County CA
104,CA,Los Angeles,south pasadena,2018-05-01,a high school student created an instagram account to post anti-semitic pictures and target a jewish student.,6006,6037,Los Angeles County CA
105,CA,Los Angeles,tarzana,2019-03-01,"anti-semitic fliers were discovered at an elementary school that asked ""what is the difference between crackheads and jews?"" a swastika and the message ""the murder of innocent women and children by a rothschild led jewish zionist armed militia to forcibly confiscate the land of palestine now known as israel.""",9616,6037,Los Angeles County CA
106,CA,Los Angeles,van nuys,2019-03-01,a swastika was spray-painted on a school wall.,11706,6037,Los Angeles County CA
107,CA,Los Angeles,west hollywood,2019-11-01,swastika traced into the dust of a car parked in the school parking lot.,12078,6037,Los Angeles County CA
108,CA,Los Angeles,woodland hills,2019-03-01,"anti-semitic fliers were discovered at a high school that asked ""what is the difference between crackheads and jews?"" a swastika and the message ""the murder of innocent women and children by a rothschild led jewish zionist armed militia to forcibly confiscate the land of palestine now known as israel.""",9612,6037,Los Angeles County CA
109,CA,Los Angeles,woodland hills,2019-04-01,a classmate of a jewish student at a middle school drew a swastika on the jewish student's class work.,9689,6037,Los Angeles County CA
110,CA,Marin,kentfield,2018-11-01,anti-semitic symbols etched and painted in boys' bathroom at a middle school.,6901,6041,Marin County CA
111,CA,Marin,kentfield,2019-02-01,"anti-semitic graffiti, likely a swastika, was etched into a desk at kent middle school.",10067,6041,Marin County CA
112,CA,Marin,larkspur,2016-10-01,middle school student had a piece of paper with a swastika drawn on it placed in his backpack during the school day.,1280,6041,Marin County CA
113,CA,Marin,larkspur,2017-05-01,a jewish student harassed with holocaust-related verbiage.,2891,6041,Marin County CA
114,CA,Marin,novato,2019-08-01,at least a dozen anti-semitic fliers were posted at san marin high school that accused jews and israelis of being responsible for the 9/11 terrorist attacks.,9903,6041,Marin County CA
115,CA,Marin,san anselmo,2017-10-01,swastika painted in red on the asphalt at a high school.,2987,6041,Marin County CA
116,CA,Marin,san rafael,2016-12-01,"jewish high school student experienced repeated anti-semitic harassment from classmates, including the nazi salute.",2213,6041,Marin County CA
117,CA,Monterey,monterey,2017-05-01,"a public school teacher has been repeatedly harassed by students yelling ""death to jews"" and ""heil hitler"" outside their classroom, and a swastika was drawn on the whiteboard.",2900,6053,Monterey County CA
118,CA,Orange,garden grove,2019-04-01,student gestured the nazi salute in front of other students that included at least one jewish student.,9691,6059,Orange County CA
119,CA,Orange,garden grove,2019-12-01,jewish student harassed on the basketball court by an opposing player.,12167,6059,Orange County CA
120,CA,Orange,irvine,2017-12-01,jewish middle school student victim of anti-semitic bullying.,3011,6059,Orange County CA
121,CA,Orange,irvine,2019-01-01,"after a high school soccer game at a jewish high school, members of the opposing team gave the nazi salute while walking off the field.",9498,6059,Orange County CA
122,CA,Orange,irvine,2019-09-01,jewish high school student heard classmate making anti-semitic remarks.,9943,6059,Orange County CA
123,CA,Orange,irvine,2019-10-01,"jewish middle school student was shoved by a classmate who told him ""move, jew!""",10581,6059,Orange County CA
124,CA,Orange,irvine,2019-12-01,a high school student was the victim of ongoing anti-semitic holocaust jokes by a classmate.,12229,6059,Orange County CA
125,CA,Orange,laguna beach,2017-05-01,"three fourth grade students sang to a fellow student a song with the words, ""we?re nazi?s and we hate the jews. we?re nazi?s and we are creeping you. we?re nazi?s and we?re killing you. we?e nazi?s and we go (sound of a machine gun.)""",2897,6059,Orange County CA
126,CA,Orange,laguna beach,2017-09-01,elementary school student victim of anti-semitic bullying by a classmate.,2965,6059,Orange County CA
127,CA,Orange,laguna beach,2018-05-01,middle school student shared offensive holocaust-related meme.,6041,6059,Orange County CA
128,CA,Orange,laguna beach,2019-05-01,jewish high school student was harassed with anti-semitic epithets by classmate.,9752,6059,Orange County CA
129,CA,Orange,lake forest,2019-06-01,"a star of david and the word ""juden"" were written on a gym locker at a high school.",10326,6059,Orange County CA
130,CA,Orange,mission viejo,2017-03-01,teacher used racist and anti-semitic language in class.,2824,6059,Orange County CA
131,CA,Orange,newport beach,2019-03-10,a 22-year-old woman neo-nazi and anti-semitic fliers on the newport harbor high school campus.,7566,6059,Orange County CA
132,CA,Orange,san clemente,2018-08-01,anti-semitic graffiti was spray-painted on a several buildings at a middle school.,6374,6059,Orange County CA
133,CA,Orange,santa ana,2019-10-01,"during a group assignment, a non-jewish student directed the nazi salute at a jewish student.",9977,6059,Orange County CA
134,CA,Orange,tustin,2017-11-01,"jewish student harassed at middle school, classmates drew swastikas on their peer-graded assignments in order to intimidate the jewish student.",2993,6059,Orange County CA
135,CA,Orange,tustin,2018-05-01,jewish student at a public high school was subjected to anti-semitic rhetoric by his teacher.,5936,6059,Orange County CA
136,CA,Orange,tustin,2019-09-01,a holocaust joke was directed toward a jewish student at a middle school.,9939,6059,Orange County CA
137,CA,Orange,yorba linda,2018-10-01,jewish student's classwork was defaced by her classmate with a swastika.,6532,6059,Orange County CA
138,CA,Orange,yorba linda,2019-05-01,"a student at a middle school edited a class project with the message ""hitler did nothing wrong.""",9745,6059,Orange County CA
139,CA,Orange,yorba linda,2019-10-01,jewish middle school student was told an anti-semitic joke by a classmate.,9983,6059,Orange County CA
140,CA,Orange,yorba linda,2019-11-01,classmate of jewish high school student drew a swastika in her school folder.,10853,6059,Orange County CA
141,CA,Placer,roseville,2017-08-01,"anti-semitic incident: vandalism including a swastika and the words ""white power"" written at a middle school.",2940,6061,Placer County CA
142,CA,Riverside,indio,2016-10-01,high school student reportedly wore a nazi uniform to school for halloween.,1137,6065,Riverside County CA
143,CA,Riverside,indio,2016-12-01,"jewish high school student who experienced multiple incidents of anti-semitic harassment was told that her ""breath smells like burning jews.""",1138,6065,Riverside County CA
144,CA,Riverside,la quinta,2019-03-01,"a student announced to their class that ""the nazis should have killed all the jews, especially this sub.""",9609,6065,Riverside County CA
145,CA,Riverside,palm desert,2016-11-01,"peers said ""heil hitler"" to jewish middle school girl.",1881,6065,Riverside County CA
146,CA,Riverside,palm springs,2017-01-01,anti-semitic comments overheard in classroom.,2772,6065,Riverside County CA
147,CA,Riverside,palm springs,2017-01-01,jewish student harassed by classmate with anti-semitic language.,2769,6065,Riverside County CA
148,CA,Riverside,riverside,2017-03-01,"white supremacist flyers at high school that read: ""no jews, no problems.""",2856,6065,Riverside County CA
149,CA,Riverside,riverside,2017-08-01,a jewish high school student experienced repeated anti-semitic anti-semitic incident: harassment and bullying by his peers.,2934,6065,Riverside County CA
150,CA,Riverside,wildomar,2016-10-01,"""burn jews,"" the n-word, ""gay,"" ""bitch,"" trump,"" and a drawing of a penis were written on a elementary school wall.",2672,6065,Riverside County CA
151,CA,Riverside,wildomar,2019-03-01,a jewish middle school student was the victim of anti-semitic harassment at school.,9606,6065,Riverside County CA
152,CA,Sacramento,sacramento,2019-05-01,"middle school students yelling ""heil hitler"" and making nazi salute to, or in sight of, jewish students.",9747,6067,Sacramento County CA
153,CA,San Bernardino,la quinta,2019-03-01,"a student announced to their class that ""the nazis should have killed all the jews, especially this sub.""",9609,6071,San Bernardino County CA
154,CA,San Bernardino,redlands,2018-12-01,a seventeen-year-old was arrested for spray-painting a swastika and expletives at clement middle school.,7101,6071,San Bernardino County CA
155,CA,San Diego,bonita,2017-10-01,jewish middle school-aged student victim of ongoing anti-semitic anti-semitic incident: harassment and bullying at school.,2970,6073,San Diego County CA
156,CA,San Diego,carlsbad,2016-10-01,"jewish high school senior called a ""kike"" by classmates and faced multiple incidents of anti-semitic ""jokes.""",460,6073,San Diego County CA
157,CA,San Diego,carlsbad,2019-10-01,a high school was vandalized with swastika graffiti.,10827,6073,San Diego County CA
158,CA,San Diego,el cajon,2016-12-01,"a non-jewish student yelled at a jewish student while playing tetherball: ""you're an asshole you jewish cunt.""",817,6073,San Diego County CA
159,CA,San Diego,el cajon,2018-11-01,middle school defaced with swastika graffiti.,6910,6073,San Diego County CA
160,CA,San Diego,la jolla,2016-11-01,boys performed nazi salute to jewish student during a soccer game.,1217,6073,San Diego County CA
161,CA,San Diego,pine valley,2019-11-01,a swastika was formed using food at a school.,10858,6073,San Diego County CA
162,CA,San Diego,poway,2018-10-01,middle school student made anti-semitic remarks in a group chat.,6583,6073,San Diego County CA
163,CA,San Diego,san diego,2016-08-01,middle school teacher assigned an anti-semitic and pseudo-historical book that demonized israeli jews.,2147,6073,San Diego County CA
164,CA,San Diego,san diego,2016-10-01,"student called peer a ""dirty jew"" and harassed him via social media, referencing hitler and ovens.",2142,6073,San Diego County CA
165,CA,San Diego,san diego,2016-12-01,"jewish students overheard anti-semitic comments made by their peers, including a meme that read: ""feels good to kill jews.""",2151,6073,San Diego County CA
166,CA,San Diego,san diego,2017-09-01,anti-semitic incident: vandalism that included a swastika were spray-painted on the campus of a high school.,2953,6073,San Diego County CA
167,CA,San Diego,san diego,2017-11-01,swastika drawn on jewish school's property.,3002,6073,San Diego County CA
168,CA,San Diego,san diego,2017-11-01,jewish student victim of anti-semitic bullying at school.,3009,6073,San Diego County CA
169,CA,San Diego,san diego,2018-02-01,racist and anti-semitic graffiti was discovered on walls at a school.,5671,6073,San Diego County CA
170,CA,San Diego,san diego,2018-03-01,jewish students at a public high school were victims of ongoing anti-semitic harassment and bullying.,5732,6073,San Diego County CA
171,CA,San Diego,san diego,2018-11-01,anti-semitic graffiti discovered at an elementary school.,6820,6073,San Diego County CA
172,CA,San Diego,san diego,2019-03-01,"at a high school, a wifi hotspot was named with five swastika images and visible to those in the vicinity.",11688,6073,San Diego County CA
173,CA,San Diego,san diego,2019-03-01,"person using a loudspeaker shouting anti-israel and anti-semitic slurs from a car outside a hebrew language school, across the street from a local mosque.",9599,6073,San Diego County CA
174,CA,San Diego,san diego,2019-11-01,swastika vandalism discovered on a desk at a middle school.,12117,6073,San Diego County CA
175,CA,San Diego,san diego,2019-12-01,"a jewish student at an elementary school was told by a classmate that he hates all jews because jews ""kill my people.""",12244,6073,San Diego County CA
176,CA,San Diego,san diego,2019-12-01,jewish elementary school student told by classmate that they couldn't play together because her father hates jews and does not want jews in his house.,12195,6073,San Diego County CA
177,CA,San Diego,san marcos,2016-07-01,"swastikas, ""kkk,"" and ""auschwitz"" written in middle school student's yearbook.",2202,6073,San Diego County CA
178,CA,San Diego,san marcos,2019-05-01,jewish middle school student was physically assaulted by another student who also used anti-semitic language to threaten the student.,10561,6073,San Diego County CA
179,CA,San Luis Obispo,los osos,2019-05-01,the athletic field at a middle school was vandalized with swastika graffiti.,10252,6079,San Luis Obispo County CA
180,CA,San Mateo,belmont,2017-03-01,"anti-semitic graffiti including a swastika and the words ""toasted jew"" found in high school.",2823,6081,San Mateo County CA
181,CA,San Mateo,burlingame,2016-01-01,swastika drawn on back of jewish student's chair by classmate.,424,6081,San Mateo County CA
182,CA,San Mateo,burlingame,2019-09-01,"graffiti that included swastikas and was described as anti-semitic, homophobic, and racist was found at burlingame high school.",10436,6081,San Mateo County CA
183,CA,San Mateo,foster city,2017-01-01,bomb threat - wornick jewish day school (jcc peninsula),2759,6081,San Mateo County CA
184,CA,Santa Barbara,buellton,2018-01-01,a swastika was drawn on a traffic sign at an elementary school.,5589,6083,Santa Barbara County CA
185,CA,Santa Barbara,isla vista,2018-02-01,"jewish student discovered the word ""jews"" spray-painted on a trash can near campus.",5666,6083,Santa Barbara County CA
186,CA,Santa Barbara,santa barbara,2017-03-01,numerous cases of anti-semitic anti-semitic incident: harassment of jewish students in middle school.,2839,6083,Santa Barbara County CA
187,CA,Santa Barbara,santa ynez,2019-12-01,swastikas were spray-painted onto buildings at santa ynez high school.,12161,6083,Santa Barbara County CA
188,CA,Santa Clara,mountain view,2016-04-01,high school students made anti-semitic remarks and threatened violence in online group chat during school elections.,1659,6085,Santa Clara County CA
189,CA,Santa Clara,sunnyvale,2017-06-01,holocaust denial posters found posted a strip mall and near a jewish day school.,2910,6085,Santa Clara County CA
190,CA,Solano,fairfield,2018-11-01,"jewish high school student victim of anti-semitic harassment and bullying that included anti-semitic jokes and being physically labeled ""jew.""",6799,6095,Solano County CA
191,CA,Solano,fairfield,2019-03-01,"the name of a black student at vanden high school was spray-apinted on a sports field at the school along with a swastika, racial slurs, and ""usa for trump.""",10121,6095,Solano County CA
192,CA,Sonoma,healdsburg,2017-05-01,"a sixth-grade jewish boy was the victim of anti-semitic bullying as students taunted him with swastikas in class, and brought cigarette lighters to school telling the victim they will burn him ""like they did in the holocaust.""",2898,6097,Sonoma County CA
193,CA,Sonoma,santa rosa,2017-08-01,swastika were found spay-painted at a high school before fall semester began.,2928,6097,Sonoma County CA
194,CA,Ventura,conejo valley,2017-03-01,middle school student received anti-semitic note.,2852,6111,Ventura County CA
195,CA,Ventura,newbury park,2016-05-01,"swastikas and ""hail hitler"" graffiti found in high school bathroom.",1751,6111,Ventura County CA
196,CA,Ventura,newbury park,2018-05-01,"""heil hitler"" and a swastika were spray painted next to an elementary school.",6094,6111,Ventura County CA
197,CA,Ventura,oak park,2019-09-01,"a high school student formed a swastika with clay in class, while another student took a picture of it and shared it on snapchat.",10440,6111,Ventura County CA
198,CA,Ventura,ventura,2017-03-01,"extensive bullying of jewish student, including anti-semitic language.",2822,6111,Ventura County CA
199,CA,Yolo,davis,2017-10-01,"a swastika and the words ""sig hil"" (sic) were found drawn on the wall of a boys restroom at a high school.",2978,6113,Yolo County CA
200,CA,Yolo,davis,2017-10-01,middle school received a number of emails through their anonymous reporting application containing images of swastikas.,2977,6113,Yolo County CA
