CountyState,state,FIPS,county,county_seat,population_2010,Land Area (km²),Land Area (mi²),Water Area (km²),Water Area (mi²),Total Area (km²),Total Area (mi²),latitude,longitude
Autauga County AL,AL,1001.0,Autauga,Prattville,"54,571","1,539.58",594.436,25.776,9.952,"1,565.36",604.388,32.536382,-86.64449
Baldwin County AL,AL,1003.0,Baldwin,Bay Minette,"182,265","4,117.52","1,589.78","1,133.19",437.527,"5,250.71","2,027.31",30.659218,-87.746067
Barbour County AL,AL,1005.0,Barbour,Clayton,"27,457","2,291.82",884.876,50.865,19.639,"2,342.68",904.515,31.87067,-85.405456
Bibb County AL,AL,1007.0,Bibb,Centreville,"22,915","1,612.48",622.582,9.289,3.587,"1,621.77",626.169,33.015893,-87.127148
Blount County AL,AL,1009.0,Blount,Oneonta,"57,322","1,669.96",644.776,15.157,5.852,"1,685.12",650.628,33.977448,-86.567246
Bullock County AL,AL,1011.0,Bullock,Union Springs,"10,914","1,613.06",622.805,6.057,2.338,"1,619.11",625.143,32.101759,-85.717261
Butler County AL,AL,1013.0,Butler,Greenville,"20,947","2,011.98",776.829,2.727,1.053,"2,014.70",777.882,31.751667,-86.681969
Calhoun County AL,AL,1015.0,Calhoun,Anniston,"118,572","1,569.19",605.868,16.624,6.419,"1,585.81",612.287,33.771706,-85.822513
Chambers County AL,AL,1017.0,Chambers,Lafayette,"34,215","1,545.01",596.531,17.048,6.582,"1,562.06",603.113,32.917943,-85.391812
Cherokee County AL,AL,1019.0,Cherokee,Centre,"25,989","1,434.08",553.7,119.859,46.278,"1,553.94",599.978,34.069515,-85.654242
Chilton County AL,AL,1021.0,Chilton,Clanton,"43,643","1,794.48",692.854,20.586,7.948,"1,815.07",700.802,32.85406,-86.726628
Choctaw County AL,AL,1023.0,Choctaw,Butler,"13,859","2,365.96",913.5,19.059,7.359,"2,385.01",920.859,31.991008,-88.248887
Clarke County AL,AL,1025.0,Clarke,Grove Hill,"25,833","3,207.61","1,238.47",36.543,14.109,"3,244.15","1,252.57",31.685521,-87.818624
Clay County AL,AL,1027.0,Clay,Ashland,"13,932","1,564.25",603.961,5.285,2.04,"1,569.54",606.001,33.267809,-85.862051
Cleburne County AL,AL,1029.0,Cleburne,Heflin,"14,972","1,450.65",560.1,2.366,0.913,"1,453.02",561.013,33.671981,-85.516109
Coffee County AL,AL,1031.0,Coffee,"Elba, Enterprise","49,948","1,758.53",678.972,3.945,1.523,"1,762.47",680.495,31.402183,-85.989201
Colbert County AL,AL,1033.0,Colbert,Tuscumbia,"54,428","1,534.88",592.619,76.431,29.51,"1,611.31",622.129,34.703112,-87.801457
Conecuh County AL,AL,1035.0,Conecuh,Evergreen,"13,228","2,201.90",850.156,6.645,2.566,"2,208.54",852.722,31.428293,-86.992029
Coosa County AL,AL,1037.0,Coosa,Rockford,"11,539","1,685.89",650.926,39.947,15.423,"1,725.84",666.349,32.931445,-86.243482
Covington County AL,AL,1039.0,Covington,Andalusia,"37,765","2,668.87","1,030.46",34.526,13.331,"2,703.40","1,043.79",31.243987,-86.448721
Crenshaw County AL,AL,1041.0,Crenshaw,Luverne,"13,906","1,576.89",608.84,5.376,2.076,"1,582.26",610.916,31.732826,-86.319222
